ID,Long,Fecha_inicio,Fecha_final
9514372,64792.0,2009-05-13 00:18:05.975942,2013-05-11 12:02:33.464008
4366323,64796.0,2009-05-13 00:18:01.041458,2013-05-11 12:02:00.943947
1718189,64795.0,2009-05-13 00:18:18.040471,2013-05-11 12:02:12.265969
6445531,54970.0,2009-12-19 21:31:45.633451,2013-05-11 12:01:55.234669
12156347,64796.0,2009-05-13 00:17:22.645408,2013-05-11 12:02:02.048392
9392016,64792.0,2009-05-13 00:18:06.861946,2013-05-11 12:02:33.570530
8241736,64794.0,2009-05-13 00:17:24.123926,2013-05-11 12:01:37.240178
2309587,64795.0,2009-05-13 00:18:02.912078,2013-05-11 12:01:56.484444
5817566,65267.0,2009-05-02 00:55:36.481106,2013-05-11 12:01:16.503482
8951205,64798.0,2009-05-13 00:17:40.102727,2013-05-11 12:01:59.522181
7757698,64793.0,2009-05-13 00:17:36.858105,2013-05-11 12:01:48.705271
6428794,64792.0,2009-05-13 00:18:20.618902,2013-05-11 12:02:33.437002
10646620,65261.0,2009-05-02 00:56:48.081860,2013-05-11 12:02:47.906502
9602775,51732.0,2009-05-13 00:17:04.090842,2013-05-11 12:01:22.835003
10662021,64792.0,2009-05-13 00:17:30.869423,2013-05-11 12:02:00.218290
7897936,64794.0,2009-05-13 00:17:29.185144,2013-05-11 12:01:41.157358
6062088,64797.0,2009-05-13 00:17:22.949460,2013-05-11 12:01:25.496619
5647008,64798.0,2009-05-13 00:17:16.286149,2013-05-11 12:01:16.298356
3441340,64794.0,2009-05-13 00:18:11.704074,2013-05-11 12:02:09.829470
10659313,65262.0,2009-05-02 00:56:10.108539,2013-05-11 12:02:06.632958
7098355,50173.0,2009-05-13 00:18:26.658559,2013-04-08 11:01:39.774201
11179076,51502.0,2009-05-13 00:17:53.620195,2013-05-11 12:02:30.309127
5357470,64794.0,2009-05-13 00:18:07.723679,2013-05-11 12:02:12.733249
11337012,51503.0,2009-05-13 00:17:57.497100,2013-05-11 12:02:36.485255
6960487,54966.0,2009-12-19 21:31:55.748213,2013-05-11 12:01:35.808019
