ID,Long,Fecha_inicio,Fecha_final
10420279,51731.0,2009-05-13 00:16:57.786717,2013-05-11 12:01:20.977700
4860678,64797.0,2009-05-13 00:17:24.452097,2013-05-11 12:01:21.808808
2557816,64794.0,2009-05-13 00:18:39.082210,2013-05-11 12:02:38.916528
12265786,64797.0,2009-05-13 00:16:52.677999,2013-05-11 12:01:28.952544
3965201,52286.0,2009-05-02 00:56:08.700596,2013-05-11 12:01:45.734891
8552583,64793.0,2009-05-13 00:17:55.292606,2013-05-11 12:02:14.716670
3342970,64796.0,2009-05-13 00:18:06.865788,2013-05-11 12:02:04.103868
11517719,64795.0,2009-05-13 00:16:53.429418,2013-05-11 12:01:23.750342
5561278,65267.0,2009-05-02 00:55:36.596445,2013-05-11 12:01:15.946379
2162994,64795.0,2009-05-13 00:18:08.392294,2013-05-11 12:02:02.467704
5183357,64794.0,2009-05-13 00:18:05.998291,2013-05-11 12:02:10.110006
11403339,64792.0,2009-05-13 00:17:16.494657,2013-05-11 12:01:48.804989
10281311,64793.0,2009-05-13 00:17:12.803217,2013-05-11 12:01:36.854297
10659624,65262.0,2009-05-02 00:56:09.278660,2013-05-11 12:02:05.768493
7350067,64793.0,2009-05-13 00:18:10.553517,2013-05-11 12:02:25.688552
9220614,64797.0,2009-05-13 00:17:30.046867,2013-05-11 12:01:49.748175
11288505,51501.0,2009-05-13 00:17:43.601350,2013-05-11 12:02:19.352774
5990753,65267.0,2009-05-02 00:55:30.648795,2013-05-11 12:01:10.901154
8800954,65261.0,2009-05-02 00:56:56.639307,2013-05-11 12:02:50.284335
5524229,65263.0,2009-05-02 00:56:39.221356,2013-05-11 12:02:21.610454
10010440,64814.0,2009-05-13 00:17:31.082236,2013-05-11 12:01:56.236990
10098540,51735.0,2009-05-13 00:16:47.763496,2013-05-11 12:01:08.026018
7455981,64794.0,2009-05-13 00:17:27.672116,2013-05-11 12:01:36.921894
5264304,54966.0,2009-12-19 21:31:21.547674,2013-05-11 12:02:24.964809
8332986,64799.0,2009-05-13 00:16:43.685662,2013-05-11 12:00:53.759409
6350882,63168.0,2009-06-20 06:22:33.745137,2013-05-11 12:02:30.840788
5809890,64797.0,2009-05-13 00:17:25.503932,2013-05-11 12:01:27.234502
10583180,64793.0,2009-05-13 00:18:05.331910,2013-05-11 12:02:40.226509
3240158,64795.0,2009-05-13 00:18:01.024178,2013-05-11 12:01:56.933562
9832379,64797.0,2009-05-13 00:17:28.070796,2013-05-11 12:01:51.200115
6607447,64794.0,2009-05-13 00:17:50.163505,2013-05-11 12:01:58.212479
5273713,64794.0,2009-05-13 00:18:01.218363,2013-05-11 12:02:04.952535
7265298,54964.0,2009-12-19 21:31:34.548700,2013-05-11 12:02:36.992635
8164262,65263.0,2009-05-02 00:56:13.037240,2013-05-11 12:02:00.847833
8128067,63175.0,2009-06-20 06:21:36.752527,2013-05-11 12:01:01.044212
5120087,65266.0,2009-05-02 00:55:49.082220,2013-05-11 12:01:27.738316
4175630,50193.0,2009-06-20 06:22:27.795621,2013-05-11 12:01:36.103753
7631194,52096.0,2009-05-02 00:55:32.350144,2013-01-11 15:16:59.267875
